date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:59	292314/292314	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:23%20GMT	https://template.hasthemes.com/antomi/antomi/index-6.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index-6.html	(from )
18:39:00	407/407	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Nov%202021%2011:39:00%20GMT	https://template.hasthemes.com/robots.txt		(from )
18:39:00	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2028%20Jul%202021%2005:16:19%20GMT	https://template.hasthemes.com/antomi/antomi/assets/img/favicon.ico	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/img/favicon.ico	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:01	444590/444590	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Jul%202021%2005:15:44%20GMT	https://template.hasthemes.com/antomi/antomi/assets/css/plugins.css	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/css/plugins.css	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:01	208095/208095	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Jul%202021%2005:15:45%20GMT	https://template.hasthemes.com/antomi/antomi/assets/css/style.css	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/assets/css/style.css	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:02	468221/468221	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:31%20GMT	https://template.hasthemes.com/antomi/antomi/index.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:02	383493/383493	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:18%20GMT	https://template.hasthemes.com/antomi/antomi/index-2.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index-2.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:02	253999/253999	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:20%20GMT	https://template.hasthemes.com/antomi/antomi/index-4.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index-4.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:02	427666/427666	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:27%20GMT	https://template.hasthemes.com/antomi/antomi/index-5.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index-5.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:03	354742/354742	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:21%20GMT	https://template.hasthemes.com/antomi/antomi/index-3.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index-3.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:03	140457/140457	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:52%20GMT	https://template.hasthemes.com/antomi/antomi/shop.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/shop.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
18:39:03	395761/395761	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2005:14:32%20GMT	https://template.hasthemes.com/antomi/antomi/index-7.html	C:/xampp/htdocs/do-an-php/template.hasthemes.com/antomi/antomi/index-7.html	(from https://template.hasthemes.com/antomi/antomi/index-6.html)
